id,url,title,subtitle,image,claps,responses,reading_time,publication,date
1001,https://uxdesign.cc/6-lessons-i-learned-as-a-freelance-designer-c77ae4cc9594,6 lessons I learned as a freelance designer,Key highlights of my journey,1001.jpeg,103,0,5,UX Collective,2019-10-14
1002,https://uxdesign.cc/useful-tips-you-need-to-know-before-working-on-your-next-product-ux-9e45b61714a0,"<strong class=""markup--strong markup--h3-strong"">Useful tips you need to know before working on your next product UX</strong>",,1002.jpeg,79,0,4,UX Collective,2019-10-14
1003,https://uxdesign.cc/why-sketching-can-be-your-unicorn-skill-647d8b6e0200,Why sketching can be your unicorn skill.,"First, I just want to ask you a simple question, Have you…",1003.png,137,0,5,UX Collective,2019-10-14
1004,https://medium.com/swlh/if-you-learn-to-write-you-can-change-your-life-d0df747e02c8,"<strong class=""markup--strong markup--h3-strong"">If You Learn to Write, You Can Change Your Life.</strong>",The secret is in the line.,1004.jpeg,20000,78,6,The Startup,2019-10-14
1005,https://medium.com/swlh/the-power-of-letting-go-how-surrendering-control-can-improve-your-life-5fa988aff7d,The Power of Letting Go: How Surrendering Control Can Improve Your Life,,1005.jpeg,4300,9,6,The Startup,2019-10-14
1006,https://medium.com/swlh/how-to-use-the-usereducer-react-hook-to-share-data-between-components-83123c9580a4,How to Use the useReducer React Hook to Share Data Between Components,,1006.jpg,237,3,13,The Startup,2019-10-14
1007,https://medium.com/swlh/deep-learning-is-blowing-up-ocr-and-your-field-could-be-next-839c86f3fe76,"Deep Learning Is Blowing up OCR, and Your Field Could be Next",,1007.jpeg,385,0,6,The Startup,2019-10-14
1008,https://medium.com/swlh/low-effort-ways-to-be-more-likeable-15ae632fe26a,Low-Effort Ways to Be More Likeable,A lazy person’s guide to leveraging the brain’s hemispheric…,1008.jpeg,1400,8,3,The Startup,2019-10-14
1009,https://medium.com/swlh/basis-risk-alpha-factories-and-being-too-clever-for-your-own-good-6f3eca0603d,"Basis Risk, Alpha Factories, and Being too Clever for your own Good",Investors who avoid making visible bets are all crowding into the same invisible trade.,,190,2,6,The Startup,2019-10-14
1010,https://medium.com/swlh/understanding-recursion-memoization-and-dynamic-programming-3-sides-of-the-same-coin-8c1f57ee5604,"Understanding recursion, memoization, and dynamic programming: 3 sides of the same coin",,1010.png,172,1,6,The Startup,2019-10-14
1011,https://medium.com/swlh/why-real-id-might-make-it-real-hard-to-vote-in-2020-b48e001c2aec,Why REAL ID Might Make It Real Hard To Vote In 2020,But not if you take a few steps now to make sure…,1011.jpg,366,6,6,The Startup,2019-10-14
1012,https://medium.com/swlh/opinionated-programming-language-choice-only-3-languages-not-10-not-20-in-2020-f1e1c7cc003c,"Opinionated programming language choice (only 3 languages, not 10, not 20) in 2020",,1012.jpeg,301,4,4,The Startup,2019-10-14
1013,https://medium.com/swlh/organizing-your-javascript-code-with-functions-c2e0d1b9b776,Organizing Your JavaScript Code with Functions,,1013.jpg,408,1,9,The Startup,2019-10-14
1014,https://medium.com/swlh/i-quit-social-media-heres-why-11a1e5b2678c,"I Quit Social Media, Here’s Why",,1014.jpeg,280,3,5,The Startup,2019-10-14
1015,https://medium.com/swlh/a-practical-guide-to-get-started-with-dataops-c0061656b83b,A practical guide to get started with DataOps,How your organization can adopt the (non-technical)…,1015.png,191,0,6,The Startup,2019-10-14
1016,https://medium.com/swlh/containerized-ai-for-anomaly-detection-eb3e08225235,Containerized AI for Anomaly Detection,,1016.jpg,59,0,9,The Startup,2019-10-14
1017,https://medium.com/swlh/what-i-learned-by-practicing-good-habits-every-day-for-a-year-91a17825b4f8,What I Learned By Practicing Good Habits Every Day For A Year,You only need to be super strict in the…,1017.jpg,1100,5,5,The Startup,2019-10-14
1018,https://medium.com/swlh/know-your-inputs-or-grpc-request-validation-8eb29a0ebc31,Know your inputs or gRPC request validation,,1018.jpeg,100,0,7,The Startup,2019-10-14
1019,https://medium.com/swlh/what-are-the-steps-you-need-to-take-to-have-great-cofounders-ab10ce6b1c28,What Are The Steps You Need To Take To Have Great Cofounders?,,1019.jpeg,205,1,5,The Startup,2019-10-14
1020,https://medium.com/swlh/setup-the-simplest-ci-with-bitbucket-pipelines-7989e934e700,Setup The Simplest CI With Bitbucket Pipelines,And deploy your changes with a click of a button,1020.jpg,50,1,4,The Startup,2019-10-14
1021,https://medium.com/swlh/how-to-decide-whats-really-worthy-of-your-time-696111e1b714,How to Decide What’s Really Worthy of Your Time,What deserves your valuable time?,1021.png,1000,2,4,The Startup,2019-10-14
1022,https://medium.com/swlh/correlates-of-rock-climbing-ability-89a16a6f2019,Correlates of rock climbing ability,My analysis of ‘what correlates with how well someone climbs?’.,1022.jpg,51,0,11,The Startup,2019-10-14
1023,https://medium.com/swlh/reselect-a-phase-to-make-a-react-redux-application-production-grade-7468430c27e0,Reselect — A Phase To Make A React-Redux Application ,,1023.jpg,219,2,10,The Startup,2019-10-14
1024,https://medium.com/swlh/book-review-shape-up-by-basecamp-1d789fefdd4c,Book review: Shape Up by Basecamp,Shape Up is a book aimed to help product development teams who…,1024.png,167,2,5,The Startup,2019-10-14
1025,https://medium.com/swlh/theres-no-such-thing-as-a-blueprint-to-success-d9f466af8d5,There’s No Such Thing As A ‘Blueprint to Success’,Here’s what matters more than stupid metrics,1025.png,1400,14,4,The Startup,2019-10-14
1026,https://medium.com/swlh/javascript-for-machine-learning-get-a-real-language-628000886683,Javascript for machine learning? Get a real language.,,1026.png,495,2,12,The Startup,2019-10-14
1027,https://medium.com/swlh/how-to-implement-a-pulling-chain-in-vr-in-ue4-4abdca5ed817,How to Implement a Pulling Chain in VR in UE4.22,,1027.png,64,0,8,The Startup,2019-10-14
1028,https://medium.com/swlh/if-youre-transgender-you-need-to-write-1e96b7b82c9f,"If You’re Transgender, You Need to Write","On being trans, being visible, and being unapologetically…",1028.jpeg,801,5,7,The Startup,2019-10-14
1029,https://medium.com/swlh/sorting-algorithms-selection-sort-66c3fc8278b9,Sorting Algorithms: Selection Sort,Diving into Selection Sort and its Code Implementation,1029.jpeg,70,1,4,The Startup,2019-10-14
1030,https://medium.com/swlh/an-introduction-to-vision-statements-adf03a05d8f7,An Introduction to Vision Statements,A compelling ,1030.jpeg,134,1,4,The Startup,2019-10-14
1031,https://medium.com/swlh/five-books-that-pass-the-five-year-test-f822c2a378c7,Five Books that Pass the Five Year Test,,1031.jpg,136,2,6,The Startup,2019-10-14
1032,https://medium.com/swlh/how-to-troubleshoot-connectivity-issues-in-aws-deployments-343f90cb8609,How To Troubleshoot Connectivity Issues In AWS Deployments?,,1032.jpeg,132,1,8,The Startup,2019-10-14
1033,https://medium.com/swlh/how-to-design-a-self-guided-cycling-tour-app-c397d4c61e91,How to design a self-guided cycling tour app,How do we design an app that aims to allow guests to…,1033.png,96,1,11,The Startup,2019-10-14
1034,https://medium.com/swlh/2-0-skyroutes-a-simple-framework-for-progressive-web-apps-b47b6fc9ed86,[2.0] SkyRoutes : A Simple framework for Progressive Web Apps,,1034.png,238,0,4,The Startup,2019-10-14
1035,https://medium.com/swlh/alexas-struggle-with-accents-6bc10da58dd0,Alexa’s struggle with accents,,1035.jpeg,73,0,3,The Startup,2019-10-14
1036,https://medium.com/swlh/problem-solving-teams-and-how-to-build-them-9a01a8035704,Problem Solving Teams and How to Build Them,"See it, characterize it, DISAGREE, communicate it, solve it",1036.jpg,120,0,4,The Startup,2019-10-14
1037,https://medium.com/swlh/you-choose-how-you-react-its-the-most-powerful-gift-you-have-d501c3876245,You Choose How You React: It’s the Most Powerful Gift You Have,"It’s a gift of adulthood, don’t dismiss…",1037.jpg,301,2,7,The Startup,2019-10-14
1038,https://medium.com/swlh/i-cant-imagine-how-we-unthinkingly-use-our-words-to-hurt-not-heal-5eb76d509c47,"<strong class=""markup--strong markup--h3-strong"">“I Can’t Imagine!” — How We Unthinkingly Use our Words to Hurt, Not Heal</strong>","<strong class=""markup--strong markup--h4-strong"">How you can truly help a</strong>",1038.jpg,181,2,7,The Startup,2019-10-14
1039,https://medium.com/swlh/security-challenges-of-5g-wireless-technology-25967d025e61,Security challenges of 5G Wireless Technology,,1039.jpeg,106,0,7,The Startup,2019-10-14
1040,https://medium.com/swlh/the-good-the-bad-the-ugly-of-nanowrimo-5813c1cef5bd,"The Good, The Bad & The Ugly of NaNoWriMo",A former Municipal Liaison shares from the inside out,1040.jpeg,751,1,6,The Startup,2019-10-14
1041,https://medium.com/swlh/bullet-journals-cultivating-intentionality-for-beginners-82b737e3cf9,Bullet Journals: Cultivating Intentionality for Beginners,,1041.jpg,99,0,9,The Startup,2019-10-14
